419,Arachchikattuwa
420,Aradana Kanda
421,Arambe Handiya
422,Arambekade
423,Arambekema
424,Aranaganvila Tawn
425,Aranayaka
426,Arandara
427,Arangala
428,Arawa
429,Arawaththa
430,Areporuwa
431,Aruggammana
432,Arunagama
433,Arunapura
434,Aruppola
435,Aselapura
436,Asgiriya
437,Asmadala
438,Atabagaslanda
439,Atabage
440,Atabooya
441,Atala
442,"Athabediwewa,"
443,Athbediwewa
444,Athgala
445,Athipola
446,Aththanakadawala
447,Athulapura
448,Athumallpitiya
449,Athuparayaya
450,Athuraliya
451,Athwalthota 
452,Atigala
453,Atlongwatta
454,Atolugama 
455,Attampitiya
456,Attavilluwa
457,Atthiligoda
458,Atugoda
459,Atulugama
460,Aulegama
461,Avissawella 
462,Aviththawa
463,Awkana
464,Ayagama
465,Babaragoda
466,Badalgama
467,Badalkubura
468,Badalkumbura
469,Baddegama
470,Badulla
471,Baduluoya
472,Badulupitiya
473,Baduluvela
474,Baduradoda
475,Baduraliya
476,Baduraliya 
477,Baduwaththa
478,Bagawanthalawa
479,Bakamoona
480,Bakamuna
481,Bakinigahawela
482,Balagoda
483,Balagolla
484,"Balaharuwa,"
485,Balakaduwa
486,Balalla
487,Balaluwewa
488,Balana
489,Balangoda
490,Balanthota
491,Balapitiya
492,Balawala
493,Ballagaswawa
494,Ballanthudawa
495,Ballapana
496,Ballapitiya
497,Balleketuwa
498,Bambaradeniya
499,Bambaragahaalla
500,Bambaragaswewa
501,Bambarapana
502,Bambawa
503,Bambukuliya
504,Bammana
505,Bammanna
506,Bamunakotuwa
507,Bamunugama
508,Bamunugedara
509,Bamunukotuwa
510,Banagoda
511,Bandaragama 
512,Bandarapola
513,Bandarapura
514,Bandarawatta
515,Bandarawela
516,Bandhawa
517,Bandirupppuwa
518,Bangadeniya
519,Bangama
520,Bar Junshan
521,Baragama
522,Baragedara
523,Barandana
524,Barawakubuka
525,Barawakumbuka
526,Barigama
527,Barigoda
528,Bataduwa
529,Bataganwilla
530,Batagoda
531,Batamandiya
532,Batangala
533,Batapola
534,Batatha
535,Batewela
536,Batugammana
537,Batugedra
538,Batuhena
539,Batumulla
540,Batuoya
541,Batuwatta
542,Batuwita
543,Bawwagama
544,Bd 05
545,Beddewala
546,Bediwewa
547,Beliatta
548,Beligaha
549,Beligala
550,Beligamuwa
551,Belihuloya
552,Beliyakanda
553,Bellana 
554,Bellankadawala
555,Belummahara
556,Bembada
557,Bemmulla
558,Bemmullegedara
559,Bengamuwa
560,Benthota
561,Beragala
562,Beralapanathara
563,Beralihela
564,Beranduwa
565,Beruwala
566,Beruwala 
567,Bibila
568,Bibiladeniya
569,Bibilegama
570,Bihalpola
571,Bindunuwewa
572,Bingiriya
573,Binkama
574,Biridewela
575,Bisobandaragama
576,Bobella
577,Bodagama
578,Bodimaluwa
579,Bodirajapura 
580,Bogahagoda
581,Bogahamadittha
582,Bogahapalassa
583,Bogakumbura
